,dHex_count,HexNAc_count,NeuAc_count,Hex_count,LacNAc_count,Glycan_type,mass,Intensity,Rsquared,Sample_collection_time,Sample_name,Sample_collection
267,0,0,0,0,0,Core 2,983.4524,437.434612946934,0.993573052046859,17plus3,P12,P12-17plus3
268,1,0,1,0,-1,Core 1,1069.4892,20.7713012674778,0.940806304700884,17plus3,P12,P12-17plus3
269,1,0,0,0,0,Core 2,1157.5416,415.90625919439,0.992624790313781,17plus3,P12,P12-17plus3
270,2,0,0,0,0,Core 2,1331.6308,164.598395633482,0.996149415030965,17plus3,P12,P12-17plus3
271,1,0,0,1,0,Core 2,1361.6414,6.42707790615103,0.960811792559407,17plus3,P12,P12-17plus3
272,1,1,0,0,0,Core 2,1402.668,3.94616331384952,0.939371935114293,17plus3,P12,P12-17plus3
273,0,0,0,0,1,Core 2,1432.6786,7.6655278105949,0.965723742547752,17plus3,P12,P12-17plus3
274,3,0,0,0,0,Core 2,1505.72,23.5744588228999,0.991606681510796,17plus3,P12,P12-17plus3
275,1,0,0,0,1,Core 2,1606.7678,6.14979046446969,0.942163271746652,17plus3,P12,P12-17plus3
276,2,0,0,0,1,Core 2,1780.857,3.80583226759339,0.950223285108939,17plus3,P12,P12-17plus3
277,2,0,0,1,2,Core 2,2434.183,1.04788140575954,0.925344183082275,17plus3,P12,P12-17plus3
293,0,0,0,0,-1,Core 1,534.2262,631.229738312181,0.995838279057433,13plus6,P24,P24-13plus6
294,0,0,1,-1,-1,STn,691.3002,724.517488852227,0.967055086597218,13plus6,P24,P24-13plus6
295,1,0,0,0,-1,Core 1,708.3154,3514.46657516241,0.99993496832611,13plus6,P24,P24-13plus6
296,0,0,1,0,-1,Core 1,895.4,1896.49065491259,0.999298621881534,13plus6,P24,P24-13plus6
297,1,0,0,1,-1,Core 1,912.4152,89.4226053651212,0.942594845044358,13plus6,P24,P24-13plus6
298,0,0,0,0,0,Core 2,983.4524,305.195509736249,0.997184558058223,13plus6,P24,P24-13plus6
299,1,0,1,0,-1,Core 1,1069.4892,168.983432208124,0.991826823312626,13plus6,P24,P24-13plus6
300,1,0,0,0,0,Core 2,1157.5416,148.004268392569,0.993873129165511,13plus6,P24,P24-13plus6
301,0,0,2,0,-1,Core 1,1256.5738,345.426768311444,0.998738004307966,13plus6,P24,P24-13plus6
302,1,0,1,1,-1,Core 1,1273.589,16.920914246105,0.956001642561704,13plus6,P24,P24-13plus6
303,2,0,0,0,0,Core 2,1331.6308,74.9569837796925,0.992498093619238,13plus6,P24,P24-13plus6
304,0,0,1,0,0,Core 2,1344.6262,237.216041734555,0.996639082421105,13plus6,P24,P24-13plus6
305,0,0,0,0,1,Core 2,1432.6786,13.8163434979493,0.960000823476695,13plus6,P24,P24-13plus6
306,3,0,0,0,0,Core 2,1505.72,39.551963575864,0.995889804929821,13plus6,P24,P24-13plus6
