"","Sample.name","Sample.collection.time","Glycan.type","mass","Composition: dHex-HexNAc-NeuAc-Hex","Intensity","Rsquared"
"561","P8","22plus0","Core 2",2363.1458,"3-3-0-5",1.16197676391147,0.258425635407902
"611","P8","22plus0","Core 2",2374.1618,"4-4-0-3",3.36024767279959,0.974311618995636
"491","P8","22plus0","Core 2",2387.1572,"2-4-1-3",4.98480301322169,0.583546368811527
"841","P8","22plus0","Core 2",2404.1724,"3-4-0-4",5.03532042428969,0.539909602409637
"711","P8","22plus0","Core 2",2417.1678,"1-4-1-4",2.70535759180614,0.849739025558668
"781","P8","22plus0","Core 2",2434.183,"2-4-0-5",2.26858899881253,0.4748556872238
"541","P8","22plus0","Core 2",2445.199,"3-5-0-3",7.60854300710872,0.251311427432551
"761","P8","22plus0","Core 2",2475.2096,"2-5-0-4",4.8432739412406,0.531462122825257
"511","P8","22plus0","Core 2",2503.2046,"2-3-2-3",0,0
"1091","P8","22plus0","Core 2",2505.2202,"1-5-0-5",0,0
"2911","P8","22plus0","Polyhexose",2518.1976,"0-0-0-12",0,0
"591","P8","22plus0","Core 2",2520.2198,"3-3-1-4",0,0
"641","P8","22plus0","Core 2",2537.235,"4-3-0-5",0,0
"581","P8","22plus0","Core 2",2561.2464,"3-4-1-3",0,0
"931","P8","22plus0","Core 2",2578.2616,"4-4-0-4",0,0
"801","P8","22plus0","Core 2",2591.257,"2-4-1-4",0,0
"671","P8","22plus0","Core 2",2604.2524,"0-4-2-4",0,0
"871","P8","22plus0","Core 2",2608.2722,"3-4-0-5",0,0
"621","P8","22plus0","Core 2",2619.2882,"4-5-0-3",0,0
"731","P8","22plus0","Core 2",2621.2676,"1-4-1-5",0,0
"791","P8","22plus0","Core 2",2638.2828,"2-4-0-6",0,0
"851","P8","22plus0","Core 2",2649.2988,"3-5-0-4",0,0
"721","P8","22plus0","Core 2",2662.2942,"1-5-1-4",0,0
"1161","P8","22plus0","Core 2",2679.3094,"2-5-0-5",0,0
"1071","P8","22plus0","Core 2",2692.3048,"0-5-1-5",0,0
"1111","P8","22plus0","Core 2",2709.32,"1-5-0-6",0,0
"771","P8","22plus0","Core 2",2720.336,"2-6-0-4",0,0
"2921","P8","22plus0","Polyhexose",2722.2974,"0-0-0-13",0,0
"1101","P8","22plus0","Core 2",2750.3466,"1-6-0-5",0,0
"1011","P8","22plus0","Core 2",2752.3508,"5-4-0-4",0,0
"891","P8","22plus0","Core 2",2765.3462,"3-4-1-4",0,0
"741","P8","22plus0","Core 2",2778.3416,"1-4-2-4",0,0
"1561","P8","22plus0","Core 2",2780.3572,"0-6-0-6",0,0
"961","P8","22plus0","Core 2",2782.3614,"4-4-0-5",0,0
"821","P8","22plus0","Core 2",2795.3568,"2-4-1-5",0,0
"881","P8","22plus0","Core 2",2812.372,"3-4-0-6",0,0
"941","P8","22plus0","Core 2",2823.388,"4-5-0-4",0,0
"811","P8","22plus0","Core 2",2836.3834,"2-5-1-4",0,0
"1251","P8","22plus0","Core 2",2853.3986,"3-5-0-5",0,0
"1121","P8","22plus0","Core 2",2866.394,"1-5-1-5",0,0
"1191","P8","22plus0","Core 2",2883.4092,"2-5-0-6",0,0
"861","P8","22plus0","Core 2",2894.4252,"3-6-0-4",0,0
"1171","P8","22plus0","Core 2",2924.4358,"2-6-0-5",0,0
"2931","P8","22plus0","Polyhexose",2926.3972,"0-0-0-14",0,0
"981","P8","22plus0","Core 2",2939.4354,"4-4-1-4",0,0
"831","P8","22plus0","Core 2",2952.4308,"2-4-2-4",0,0
"1591","P8","22plus0","Core 2",2954.4464,"1-6-0-6",0,0
"1041","P8","22plus0","Core 2",2956.4506,"5-4-0-5",0,0
"911","P8","22plus0","Core 2",2969.446,"3-4-1-5",0,0
"971","P8","22plus0","Core 2",2986.4612,"4-4-0-6",0,0
"1021","P8","22plus0","Core 2",2997.4772,"5-5-0-4",0,0
"115","P26","13plus6","Core 1",534.2262,"0-1-0-1",101.654649674528,0.949353566046393
"2832","P26","13plus6","STn",691.3002,"0-1-1-0",1430.96750741342,0.983231394174179
"412","P26","13plus6","Core 1",708.3154,"1-1-0-1",405.171119435291,0.99574834562362
"212","P26","13plus6","Core 1",895.4,"0-1-1-1",92.7587263029241,0.870298704301793
"612","P26","13plus6","Core 1",912.4152,"1-1-0-2",73.7582940546994,0.999174363773908
"512","P26","13plus6","Core 1",953.4418,"1-2-0-1",30.1696249288273,0.624301982449885
"105","P26","13plus6","Core 2",983.4524,"0-2-0-2",20.1559821361845,0.871536174597629
"712","P26","13plus6","Core 1",1069.4892,"1-1-1-1",71.955227393256,0.975816779509767
"2842","P26","13plus6","Polyhexose",1089.499,"0-0-0-5",7.80286516744184,0.0869603215479759
"132","P26","13plus6","Core 2",1157.5416,"1-2-0-2",7.34045419370883,0.274417228975549
"312","P26","13plus6","Core 1",1256.5738,"0-1-2-1",9.19416059289694,0.852832705895508
"95","P26","13plus6","Core 1",1273.589,"1-1-1-2",5.27083335510686,0.0171055631720569
"2852","P26","13plus6","Polyhexose",1293.5988,"0-0-0-6",3.60247241989452,0.0495119880331967
"812","P26","13plus6","Core 1",1314.6156,"1-2-1-1",3.09788177338132,0.747924838257877
"202","P26","13plus6","Core 2",1331.6308,"2-2-0-2",3.65475184105236,0.767614585000961
"118","P26","13plus6","Core 2",1344.6262,"0-2-1-2",4.52988738647481,0.00885630943241495
"152","P26","13plus6","Core 2",1361.6414,"1-2-0-3",6.46757520481932,0.906056978750692
"142","P26","13plus6","Core 2",1402.668,"1-3-0-2",19.0503721741813,0.991056754137933
"332","P26","13plus6","Core 2",1432.6786,"0-3-0-3",5.6331603763422,0.983926739578414
"2862","P26","13plus6","Polyhexose",1497.6986,"0-0-0-7",3.02348012450725,0.801845199490738
"282","P26","13plus6","Core 2",1505.72,"3-2-0-2",2.07060634396891,0.228688469176672
"162","P26","13plus6","Core 2",1518.7154,"1-2-1-2",2.70115496913773,0.892594852946309
"232","P26","13plus6","Core 2",1535.7306,"2-2-0-3",2.02586642881247,0.178166709974333
"213","P26","13plus6","Core 2",1576.7572,"2-3-0-2",1.49337440541193,0.0795124318329997
"362","P26","13plus6","Core 2",1606.7678,"1-3-0-3",1.46328962368475,0.307546740777795
"252","P26","13plus6","Core 2",1692.8046,"2-2-1-2",2.52587145611711,0.0115956251026969
"2872","P26","13plus6","Polyhexose",1701.7984,"0-0-0-8",1.26044617266546,0.024376674392423
"122","P26","13plus6","Core 2",1705.8,"0-2-2-2",1.87008820681754,0.024376674392423
"313","P26","13plus6","Core 2",1709.8198,"3-2-0-3",1.92598131974874,0.024376674392423
"182","P26","13plus6","Core 2",1722.8152,"1-2-1-3",5.01728234702896,0.967797221654993
"242","P26","13plus6","Core 2",1739.8304,"2-2-0-4",2.0355956805202,0.360174477650687
"295","P26","13plus6","Core 2",1750.8464,"3-3-0-2",4.20559463114196,0.784090265213389
"172","P26","13plus6","Core 2",1763.8418,"1-3-1-2",3.32617055338909,0.694546068491841
"432","P26","13plus6","Core 2",1780.857,"2-3-0-3",1.52545975309491,0.759682644517036
"342","P26","13plus6","Core 2",1793.8524,"0-3-1-3",1.65729484938075,0.568309104284955
"382","P26","13plus6","Core 2",1810.8676,"1-3-0-4",1.05844918751547,0.0237331786767426
"222","P26","13plus6","Core 2",1821.8836,"2-4-0-2",1.04617169487193,0.813196383033302
"372","P26","13plus6","Core 2",1851.8942,"1-4-0-3",1.0346358091644,0.918566697399518
