"","Glycan.type","mass","Composition: dHex-HexNAc-NeuAc-Hex"
"338","Tetra",4432.2078,"7-7-0-7"
"339","Tetra",4434.1872,"4-6-1-9"
"340","Penta",4443.1458,"1-9-1-8"
"341","Tetra",4445.2032,"5-7-1-7"
"342","Tetra",4447.1826,"2-6-2-9"
"343","Tetra",4451.2024,"5-6-0-10"
"344","Tetra",4458.1986,"3-7-2-7"
"345","Hexa",4460.1876,"2-9-0-9"
"346","Penta",4462.2184,"6-7-0-8"
"347","Tetra",4464.1978,"3-6-1-10"
"348","Tetra",4471.194,"1-7-3-7"
"349","Tri",4473.2344,"7-8-0-6"
"350","Penta",4475.2138,"4-7-1-8"
"351","Tetra",4481.213,"4-6-0-11"
"352","Tri",4486.2298,"5-8-1-6"
"353","Penta",4488.2092,"2-7-2-8"
"354","Penta",4492.2556,"5-7-0-9"
"355","Penta",4501.2046,"0-7-3-8"
"356","Tetra",4503.245,"6-8-0-7"
"357","Penta",4505.251,"3-7-1-9"
"358","Tetra",4516.2404,"4-8-1-7"
"359","Penta",4518.2464,"1-7-2-9"
"360","Penta",4522.2928,"4-7-0-10"
"361","Tetra",4529.2358,"2-8-2-7"
"362","Hexa",4531.1982,"1-10-0-9"
"363","Penta",4533.229,"5-8-0-8"
"364","Tetra",4535.2598,"9-6-0-7"
"365","Tri",4544.2354,"4-6-3-6"
"366","Penta",4546.2244,"3-8-1-8"
"367","Tetra",4548.2552,"7-6-1-7"
"368","Penta",4552.33,"3-7-0-11"
"369","Polyhexose",4559.1956,"0-0-0-22"
"370","Tetra",4561.2506,"5-6-2-7"
"371","Hexa",4563.2662,"4-8-0-9"
"372","Tetra",4565.2704,"8-6-0-8"
"373","Tetra",4574.246,"3-6-3-7"
"374","Hexa",4576.2616,"2-8-1-9"
"375","Tetra",4578.2658,"6-6-1-8"
"376","Tetra",4587.2414,"1-6-4-7"
"377","Hexa",4589.257,"0-8-2-9"
"378","Tetra",4591.2612,"4-6-2-8"
"379","Hexa",4593.3034,"3-8-0-10"
"380","Tetra",4595.281,"7-6-0-9"
"381","Tri",4602.2772,"5-7-2-6"
"382","Penta",4604.2396,"4-9-0-8"
"383","Tetra",4606.297,"8-7-0-7"
"384","Tetra",4608.2764,"5-6-1-9"
"385","Penta",4617.235,"2-9-1-8"
"386","Tetra",4619.2924,"6-7-1-7"
"387","Tetra",4621.2718,"3-6-2-9"
"388","Hexa",4623.3406,"2-8-0-11"
"389","Tetra",4625.2916,"6-6-0-10"
"390","Tetra",4632.2878,"4-7-2-7"
"391","Hexa",4634.2768,"3-9-0-9"
"392","Penta",4636.3076,"7-7-0-8"
"393","Tetra",4638.287,"4-6-1-10"
"394","Tetra",4645.2832,"2-7-3-7"
"395","Hexa",4647.2722,"1-9-1-9"
"396","Penta",4649.303,"5-7-1-8"
"397","Tetra",4655.3022,"5-6-0-11"
"398","Tetra",4658.2786,"0-7-4-7"
"399","Tri",4660.319,"6-8-1-6"
"400","Penta",4662.2984,"3-7-2-8"
"401","Penta",4666.3448,"6-7-0-9"
"402","Penta",4675.2938,"1-7-3-8"
"403","Tetra",4677.3342,"7-8-0-7"
"404","Penta",4679.3402,"4-7-1-9"
"405","Tetra",4690.3296,"5-8-1-7"
"406","Penta",4692.3356,"2-7-2-9"
"407","Penta",4696.382,"5-7-0-10"
"408","Tetra",4703.325,"3-8-2-7"
"409","Hexa",4705.2874,"2-10-0-9"
"410","Penta",4707.3182,"6-8-0-8"
"411","Penta",4709.3774,"3-7-1-10"
"412","Tetra",4716.3204,"1-8-3-7"
"413","Tri",4718.3608,"7-9-0-6"
"414","Penta",4720.3136,"4-8-1-8"
"415","Tetra",4722.3444,"8-6-1-7"
"416","Penta",4726.4192,"4-7-0-11"
"417","Penta",4733.309,"2-8-2-8"
"418","Tetra",4735.3398,"6-6-2-7"
"419","Hexa",4737.3554,"5-8-0-9"
"420","Tetra",4739.3596,"9-6-0-8"
"421","Penta",4746.3044,"0-8-3-8"
"422","Tetra",4748.3352,"4-6-3-7"
"423","Hexa",4750.3508,"3-8-1-9"
"424","Tetra",4752.355,"7-6-1-8"
"425","Tetra",4761.3306,"2-6-4-7"
"426","Polyhexose",4763.2954,"0-0-0-23"
"427","Tetra",4765.3504,"5-6-2-8"
"428","Hexa",4767.3926,"4-8-0-10"
"429","Tetra",4769.3702,"8-6-0-9"
"430","Tetra",4774.3622,"2-9-2-7"
"431","Penta",4778.3288,"5-9-0-8"
"432","Tetra",4780.3862,"9-7-0-7"
"433","Tetra",4782.3656,"6-6-1-9"
"434","Penta",4791.3242,"3-9-1-8"
"435","Tetra",4793.3816,"7-7-1-7"
"436","Tetra",4795.361,"4-6-2-9"
"437","Hexa",4797.4298,"3-8-0-11"
"438","Tetra",4799.3808,"7-6-0-10"
"439","Tetra",4806.377,"5-7-2-7"
"440","Hexa",4808.366,"4-9-0-9"
"441","Penta",4810.3968,"8-7-0-8"
"442","Tetra",4812.3762,"5-6-1-10"
"443","Tetra",4819.3724,"3-7-3-7"
"444","Hexa",4821.3614,"2-9-1-9"
"445","Penta",4823.3922,"6-7-1-8"
"446","Tetra",4829.3914,"6-6-0-11"
"447","Tetra",4832.3678,"1-7-4-7"
"448","Hexa",4834.3568,"0-9-2-9"
"449","Penta",4836.3876,"4-7-2-8"
"450","Penta",4840.434,"7-7-0-9"
"451","Penta",4849.383,"2-7-3-8"
"452","Tetra",4851.4234,"8-8-0-7"
"453","Penta",4853.4294,"5-7-1-9"
"454","Penta",4862.3784,"0-7-4-8"
"455","Tetra",4864.4188,"6-8-1-7"
"456","Penta",4866.4248,"3-7-2-9"
"457","Penta",4870.4712,"6-7-0-10"
"458","Tetra",4877.4142,"4-8-2-7"
"459","Hexa",4879.3766,"3-10-0-9"
"460","Penta",4881.4074,"7-8-0-8"
"461","Penta",4883.4666,"4-7-1-10"
"462","Tetra",4890.4096,"2-8-3-7"
"463","Hexa",4892.372,"1-10-1-9"
"464","Penta",4894.4028,"5-8-1-8"
"465","Penta",4896.462,"2-7-2-10"
"466","Penta",4900.5084,"5-7-0-11"
"467","Penta",4907.3982,"3-8-2-8"
"468","Tetra",4909.429,"7-6-2-7"
"469","Hexa",4911.4446,"6-8-0-9"
"470","Penta",4913.5038,"3-7-1-11"
"471","Penta",4920.3936,"1-8-3-8"
"472","Tetra",4922.4244,"5-6-3-7"
"473","Hexa",4924.44,"4-8-1-9"
"474","Tetra",4926.4442,"8-6-1-8"
"475","Penta",4930.5456,"4-7-0-12"
"476","Tetra",4935.4198,"3-6-4-7"
"477","Hexa",4937.4354,"2-8-2-9"
"478","Tetra",4939.4396,"6-6-2-8"
"479","Hexa",4941.4818,"5-8-0-10"
"480","Tetra",4943.4594,"9-6-0-9"
"481","Tetra",4948.4514,"3-9-2-7"
"482","Hexa",4950.4308,"0-8-3-9"
"483","Penta",4952.418,"6-9-0-8"
"484","Hexa",4954.4772,"3-8-1-10"
"485","Tetra",4956.4548,"7-6-1-9"
"486","Penta",4965.4134,"4-9-1-8"
"487","Hexa",4967.4726,"1-8-2-10"
"488","Tetra",4969.4502,"5-6-2-9"
"489","Hexa",4971.519,"4-8-0-11"
"490","Tetra",4973.47,"8-6-0-10"
"491","Penta",4978.4088,"2-9-2-8"
"492","Tetra",4980.4662,"6-7-2-7"
"493","Hexa",4982.4552,"5-9-0-9"
"494","Penta",4984.486,"9-7-0-8"
"495","Tetra",4986.4654,"6-6-1-10"
"496","Tetra",4993.4616,"4-7-3-7"
"497","Hexa",4995.4506,"3-9-1-9"
"498","Penta",4997.4814,"7-7-1-8"
